DSRM-DSRM pairing	Predicted PKDs										mean	SE					
1308_ancPlant_DCL1_DSRM1__1578_ancDRB1_DRB6_DSRM1	5.96409	5.30732	5.13472	5.11975	5.03636	5.02876	5.02221	4.99716	4.92409	4.89023	5.142469	0.098538927		5.08553425	5.026244	0.077942301	0.318166411
1308_ancPlant_DCL1_DSRM1__1578_ancDRB1_DRB6_DSRM2	5.46964	5.25829	5.20564	5.06694	5.04289	5.00864	4.92476	4.80069	4.78764	4.68982	5.025495	0.07572996			5.1448245	0.089192588	
1308_ancPlant_DCL1_DSRM1__At_DRB1_DSRM1	5.18525	5.11861	5.11185	4.93505	4.89148	4.86909	4.8441	4.81415	4.66829	4.66232	4.910019	0.057345674					
1308_ancPlant_DCL1_DSRM1__At_DRB1_DSRM2	5.73154	5.5533	5.5412	5.4017	5.37564	5.35076	5.07436	4.99828	4.86558	4.74918	5.264154	0.102655216					
1578_ancDRB1_DRB6_DSRM1__1308_ancPlant_DCL1_DSRM1	5.6227	5.25872	5.21273	5.20922	5.15666	5.15529	5.15124	5.08993	5.06958	4.87371	5.179978	0.059647707		5.05591	5.1630075	0.054775874	0.01798323
1578_ancDRB1_DRB6_DSRM1__243_ancPlant_DCL1_DSRM2	5.39115	5.15105	5.12377	5.06267	5.00747	4.98812	4.8062	4.79307	4.77293	4.68512	4.978155	0.068440934			4.9488125	0.062618086	
1578_ancDRB1_DRB6_DSRM1__334182203_At_DCL1_DSRM1	5.42467	5.29005	5.21121	5.19666	5.19303	5.18079	5.06663	5.03097	4.98501	4.88135	5.146037	0.049904042					
1578_ancDRB1_DRB6_DSRM1__334182203_At_DCL1_DSRM2	5.27241	5.09559	5.02724	4.98246	4.88115	4.86788	4.84642	4.83388	4.71014	4.67753	4.91947	0.056795239					
1578_ancDRB1_DRB6_DSRM2__1308_ancPlant_DCL1_DSRM1	5.36944	5.20182	5.19379	5.18771	5.12704	5.12164	5.10544	5.02518	4.8928	4.83323	5.105809	0.049446103		5.179266	5.115252	0.056819256	0.252567031
1578_ancDRB1_DRB6_DSRM2__243_ancPlant_DCL1_DSRM2	5.8818	5.71699	5.58065	5.42506	5.39119	5.31639	5.28465	5.19858	5.07144	5.03177	5.389852	0.086238391			5.24328	0.092784949	
1578_ancDRB1_DRB6_DSRM2__334182203_At_DCL1_DSRM1	5.35548	5.34901	5.27296	5.19353	5.17038	5.11416	5.09194	5.02679	5.01159	4.66111	5.124695	0.064192409					
1578_ancDRB1_DRB6_DSRM2__334182203_At_DCL1_DSRM2	5.58912	5.46403	5.32604	5.27878	5.18451	4.90841	4.89644	4.88119	4.79085	4.64771	5.096708	0.099331507					
243_ancPlant_DCL1_DSRM2__1578_ancDRB1_DRB6_DSRM1	6.09838	5.91021	5.80003	5.77595	5.67181	5.59552	5.41596	5.40407	5.23336	5.00972	5.591501	0.104091431	x	5.5533485	5.5297665	0.110310007	0.768709148
243_ancPlant_DCL1_DSRM2__1578_ancDRB1_DRB6_DSRM2	5.75412	5.66845	5.64755	5.63915	5.59645	5.57381	5.31621	5.15299	5.09142	4.99283	5.443298	0.087878653	x		5.5769305	0.114052447	
243_ancPlant_DCL1_DSRM2__At_DRB1_DSRM1	5.98827	5.76908	5.76176	5.60804	5.59086	5.58894	5.26933	5.19624	5.15789	4.74991	5.468032	0.116528583	x				
243_ancPlant_DCL1_DSRM2__At_DRB1_DSRM2	6.30692	6.12417	5.96656	5.94439	5.91232	5.81575	5.61455	5.35215	5.1318	4.93702	5.710563	0.140226242	x				
334182203_At_DCL1_DSRM1__1578_ancDRB1_DRB6_DSRM1	4.8265	4.82183	4.80922	4.79415	4.75803	4.6853	4.63282	4.61743	4.50888	4.47097	4.692513	0.041496131		4.71007925	4.6759005	0.045639664	0.455044699
334182203_At_DCL1_DSRM1__1578_ancDRB1_DRB6_DSRM2	5.09987	4.95413	4.9155	4.84117	4.72844	4.70027	4.5674	4.53012	4.52958	4.4616	4.732808	0.067758727			4.744258	0.078426723	
334182203_At_DCL1_DSRM1__At_DRB1_DSRM1	4.92987	4.80549	4.79126	4.74777	4.64849	4.6429	4.56123	4.52717	4.51183	4.42687	4.659288	0.049783197					
334182203_At_DCL1_DSRM1__At_DRB1_DSRM2	5.36324	5.10862	4.9016	4.69197	4.6558	4.62775	4.58242	4.56278	4.55626	4.50664	4.755708	0.089094718					
334182203_At_DCL1_DSRM2__1578_ancDRB1_DRB6_DSRM1	5.9596	5.81469	5.78375	5.70994	5.55622	5.38535	5.37515	5.26076	5.09808	5.08798	5.503152	0.097478217	x	5.584337	5.59034	0.109635128	0.946166955
334182203_At_DCL1_DSRM2__1578_ancDRB1_DRB6_DSRM2	6.3223	6.18627	6.0317	5.94253	5.65427	5.5264	5.35384	5.09964	4.97694	4.68724	5.578113	0.173364828	x		5.578334	0.138431882	
334182203_At_DCL1_DSRM2__At_DRB1_DSRM1	6.41345	6.05109	5.97621	5.8415	5.57183	5.56674	5.46793	5.42406	5.29365	5.16882	5.677528	0.121792038	x				
334182203_At_DCL1_DSRM2__At_DRB1_DSRM2	6.09361	6.02383	5.82166	5.67117	5.63267	5.50097	5.31654	5.29673	5.28594	5.14243	5.578555	0.103498935	x				
At_DRB1_DSRM1__1308_ancPlant_DCL1_DSRM1	5.4725	5.27586	5.11361	5.1059	5.08084	5.05993	4.99164	4.99123	4.98757	4.89979	5.097887	0.052506978		4.99560625	5.0591305	0.050169083	0.092838538
At_DRB1_DSRM1__243_ancPlant_DCL1_DSRM2	5.23123	5.22308	5.19782	5.06156	5.0598	4.92527	4.91944	4.85552	4.82455	4.77966	5.007793	0.053893361			4.932082	0.053653186	
At_DRB1_DSRM1__334182203_At_DCL1_DSRM1	5.26923	5.24203	5.08909	5.04838	5.02948	4.96919	4.95135	4.92148	4.9061	4.77741	5.020374	0.047831188					
At_DRB1_DSRM1__334182203_At_DCL1_DSRM2	5.1777	5.1077	4.84483	4.83793	4.83789	4.83754	4.83541	4.7675	4.69478	4.62243	4.856371	0.053413011					
At_DRB1_DSRM2__1308_ancPlant_DCL1_DSRM1	5.6285	5.54619	5.32836	5.2419	5.16462	5.12963	5.10973	5.06314	4.95161	4.73867	5.190235	0.083555975		5.17386225	5.152846	0.06443049	0.731516459
At_DRB1_DSRM2__243_ancPlant_DCL1_DSRM2	5.84204	5.45296	5.4522	5.34757	5.24022	5.21432	5.14616	5.04366	4.92489	4.8299	5.249392	0.093036035			5.1948785	0.103639355	
At_DRB1_DSRM2__334182203_At_DCL1_DSRM1	5.44982	5.17785	5.16775	5.13412	5.12092	5.10905	5.08808	4.98721	4.97175	4.94802	5.115457	0.045305004					
At_DRB1_DSRM2__334182203_At_DCL1_DSRM2	5.65086	5.60686	5.45876	5.29845	5.1149	5.06929	4.99342	4.88338	4.77016	4.55757	5.140365	0.114242674					
